account_id,customer_id,account_type,balance,opening_date,account_status,branch_id
ACC22702968,CUST000001,Savings,404810,2020-03-25,Active,BR117
ACC55980131,CUST000002,Salary,881270,2026-04-16,Inactive,BR062
ACC54279034,CUST000003,Savings,396349,2023-10-02,Inactive,BR066
ACC79781809,CUST000003,Current,30610,2023-10-02,Inactive,BR087
ACC40424606,CUST000004,Savings,704727,2022-09-16,Inactive,BR066
ACC21862220,CUST000005,Salary,891416,2019-08-15,Active,BR101
ACC31140370,CUST000006,Salary,514443,2023-10-18,Inactive,BR021
ACC26817765,CUST000007,Salary,858103,2023-05-18,Inactive,BR114
ACC28091663,CUST000007,Savings,913071,2023-05-18,Active,BR087
ACC81504652,CUST000008,Current,414104,2025-09-18,Inactive,BR091
ACC17725414,CUST000008,Current,597907,2025-09-18,Inactive,BR064
ACC17015454,CUST000009,Current,640266,2018-05-05,Inactive,BR126
ACC84332918,CUST000010,Salary,685876,2020-12-31,Active,BR021
ACC85274058,CUST000011,Savings,314066,2022-12-29,Active,BR129
ACC95828020,CUST000011,Current,731588,2022-12-29,Active,BR001
ACC32794649,CUST000012,Current,506714,2025-03-20,Inactive,BR096
ACC39950250,CUST000013,Salary,751026,2024-02-10,Active,BR019
ACC12908673,CUST000014,Salary,218688,2025-11-27,Inactive,BR138
ACC33313314,CUST000014,Salary,743987,2025-11-27,Active,BR011
ACC49525774,CUST000015,Salary,566682,2019-08-07,Active,BR041
ACC42671022,CUST000016,Savings,728736,2021-08-10,Active,BR003
ACC99978212,CUST000017,Salary,722665,2022-07-12,Active,BR050
ACC88960761,CUST000017,Salary,622186,2022-07-12,Active,BR092
ACC89894701,CUST000018,Current,569857,2024-12-20,Active,BR109
ACC95608928,CUST000019,Salary,345004,2025-08-31,Active,BR147
ACC19654341,CUST000019,Current,261071,2025-08-31,Active,BR020
ACC90098737,CUST000020,Current,839461,2024-04-15,Active,BR106
ACC75144412,CUST000020,Current,508205,2024-04-15,Inactive,BR083
ACC35992968,CUST000021,Savings,603111,2020-09-06,Inactive,BR067
ACC80649649,CUST000022,Current,428105,2024-06-21,Inactive,BR003
ACC22523332,CUST000022,Current,647554,2024-06-21,Active,BR052
ACC42142913,CUST000023,Savings,960886,2020-07-17,Active,BR105
ACC71190766,CUST000024,Current,171763,2024-10-06,Inactive,BR090
ACC94796681,CUST000024,Current,752335,2024-10-06,Active,BR050
ACC93092684,CUST000025,Current,804783,2018-08-20,Active,BR037
ACC73351044,CUST000026,Savings,469719,2023-12-19,Inactive,BR050
ACC55709956,CUST000026,Current,112320,2023-12-19,Active,BR008
ACC58643560,CUST000027,Savings,817175,2026-06-03,Inactive,BR002
ACC80638492,CUST000027,Salary,347425,2026-06-03,Inactive,BR037
ACC30552589,CUST000028,Savings,60413,2022-11-27,Active,BR017
ACC46782101,CUST000028,Salary,777524,2022-11-27,Active,BR132
ACC79838757,CUST000029,Savings,293658,2025-10-31,Inactive,BR144
ACC95658285,CUST000029,Current,526549,2025-10-31,Inactive,BR067
ACC31665489,CUST000030,Savings,14034,2025-03-24,Active,BR063
ACC43548175,CUST000030,Savings,902746,2025-03-24,Inactive,BR117
ACC50174851,CUST000031,Salary,734068,2018-12-12,Inactive,BR021
ACC95464680,CUST000032,Savings,292585,2025-06-29,Active,BR057
