card_id,customer_id,account_id,card_number,card_type,card_network,issue_date,expiry_date,cvv,daily_limit,status
CARD000001,CUST018508,ACC36497056,6520308138642801,Debit,RuPay,2024-06-04,2026-07-25,237,200000,Active
CARD000002,CUST010846,ACC55140807,6537030635838416,Debit,MasterCard,2022-10-25,2028-10-04,809,50000,Expired
CARD000003,CUST017547,ACC64469966,4677248265699859,Debit,RuPay,2022-03-24,2027-05-10,225,25000,Blocked
CARD000004,CUST005368,ACC84559626,6538786990663256,Debit,Visa,2023-05-05,2026-06-01,212,100000,Active
CARD000005,CUST001769,ACC43275506,3573610095029408,Credit,Visa,2022-08-17,2024-03-13,648,25000,Blocked
CARD000006,CUST011419,ACC53326818,3565094925047593,Credit,MasterCard,2022-09-14,2031-01-01,435,50000,Blocked
CARD000007,CUST012510,ACC83177744,3578431415338451,Debit,Visa,2022-11-16,2022-12-20,772,200000,Expired
CARD000008,CUST016077,ACC71019587,3587116641460653,Credit,MasterCard,2023-05-18,2029-12-16,425,200000,Expired
CARD000009,CUST014203,ACC45262212,3591075348373060,Credit,MasterCard,2025-07-01,2029-06-26,124,50000,Blocked
CARD000010,CUST014207,ACC25769090,6011456174837037,Credit,Visa,2026-04-03,2031-02-23,747,100000,Expired
CARD000011,CUST013094,ACC31608432,6507034785620265,Credit,RuPay,2022-03-21,2025-11-19,596,50000,Blocked
CARD000012,CUST001700,ACC42128843,340716242659241,Credit,Visa,2025-01-11,2027-06-13,502,100000,Expired
CARD000013,CUST001147,ACC38812064,375311748672753,Credit,MasterCard,2025-10-20,2028-02-22,963,200000,Blocked
CARD000014,CUST019190,ACC63390393,30301067318176,Credit,RuPay,2023-07-07,2026-03-29,801,200000,Expired
CARD000015,CUST010251,ACC11225414,30571181757661,Credit,MasterCard,2024-09-17,2029-10-12,439,25000,Blocked
CARD000016,CUST019370,ACC70293008,3529417272087596,Credit,MasterCard,2023-04-20,2026-12-20,553,25000,Expired
CARD000017,CUST015374,ACC50763792,379690804767185,Credit,RuPay,2025-08-09,2025-09-07,153,100000,Blocked
CARD000018,CUST019693,ACC81168485,4097111841402044,Debit,Visa,2021-09-25,2025-12-12,707,100000,Blocked
CARD000019,CUST016692,ACC25429526,2229054232245264,Credit,MasterCard,2023-12-22,2026-03-30,839,50000,Expired
CARD000020,CUST004413,ACC92529534,344875777066408,Credit,Visa,2023-06-21,2024-08-23,105,100000,Blocked
CARD000021,CUST006552,ACC32643216,346095447211049,Debit,Visa,2026-04-08,2026-09-08,461,100000,Active
CARD000022,CUST003830,ACC59133344,675968515469,Credit,MasterCard,2021-12-05,2030-04-04,534,25000,Active
CARD000023,CUST014128,ACC43151747,3519413633077998,Debit,Visa,2026-03-29,2030-09-25,838,100000,Blocked
CARD000024,CUST006781,ACC21547494,6593055936879851,Credit,RuPay,2025-01-24,2028-01-05,569,25000,Active
CARD000025,CUST001751,ACC43703530,4409358841624,Credit,MasterCard,2024-09-08,2028-03-28,784,200000,Blocked
CARD000026,CUST005592,ACC77401883,4555540282070194535,Credit,Visa,2025-12-06,2027-06-27,395,50000,Active
CARD000027,CUST019228,ACC16145069,3531023561735576,Credit,Visa,2021-11-05,2027-02-11,376,100000,Blocked
CARD000028,CUST008532,ACC45696182,675962947759,Debit,Visa,2021-08-27,2022-08-13,378,200000,Expired
CARD000029,CUST008198,ACC10392889,348976903522656,Credit,MasterCard,2022-05-18,2030-07-13,668,200000,Active
CARD000030,CUST014738,ACC68901429,3582810123418396,Credit,MasterCard,2022-12-10,2031-02-05,139,25000,Expired
CARD000031,CUST006132,ACC94895245,586471499879,Credit,Visa,2023-02-26,2025-08-05,482,200000,Active
CARD000032,CUST009158,ACC81311740,4803203185566838790,Debit,MasterCard,2025-05-09,2030-10-13,227,100000,Active
CARD000033,CUST008395,ACC84386813,4677601153202713526,Credit,RuPay,2024-05-13,2027-06-03,341,100000,Expired
CARD000034,CUST015588,ACC77931984,4728911692822,Credit,RuPay,2023-07-12,2024-11-20,103,100000,Blocked
CARD000035,CUST007950,ACC90975309,4257004608065,Credit,MasterCard,2022-03-30,2022-08-17,512,25000,Blocked
CARD000036,CUST008010,ACC42145755,2239275304371419,Credit,Visa,2025-06-17,2027-03-08,534,25000,Blocked
CARD000037,CUST005545,ACC69339748,6011976023126332,Credit,MasterCard,2025-07-29,2025-11-05,596,50000,Active
CARD000038,CUST005906,ACC30618624,6522225622669132,Credit,MasterCard,2023-08-11,2025-07-12,531,25000,Expired
CARD000039,CUST007776,ACC95910453,676286384075,Credit,Visa,2025-08-15,2027-11-07,612,25000,Expired
CARD000040,CUST008096,ACC72513718,3521568362308488,Debit,MasterCard,2023-05-18,2024-08-25,924,25000,Active
CARD000041,CUST007688,ACC35922848,4169864582304564009,Credit,Visa,2022-02-12,2024-09-26,549,200000,Active
CARD000042,CUST015879,ACC68262617,374088503158639,Credit,Visa,2024-08-02,2026-03-06,506,25000,Active
