customer_id,first_name,last_name,gender,dob,phone,email,address,city,state,pincode,occupation,annual_income,marital_status,customer_since,kyc_status,customer_status,risk_category
CUST000001,Yagnesh,Gandhi,Male,1966-10-18,7996930439,amander@example.com,"774, Jain Path",Kumbakonam,Tamil Nadu,029789,Student,2074463,Single,2020-03-25,Verified,Active,Medium
CUST000002,Devansh,Parmar,Female,1973-07-27,6804446712,frederick06@example.org,"33
Biswas Road",Siliguri,Chhattisgarh,529857,Business,1243257,Divorced,2026-04-16,Pending,Active,High
CUST000003,Aryan,Bhargava,Male,1961-02-27,7442983403,purisudiksha@example.net,"15, Memon",Chinsurah,Rajasthan,295364,Lawyer,2021135,Single,2023-10-02,Verified,Active,Low
CUST000004,Zarna,Agate,Female,1959-08-06,8507017347,widisha42@example.org,"12
Kala Road",Suryapet,Andhra Pradesh,548735,Business,1344975,Married,2022-09-16,Verified,Active,Low
CUST000005,Tristan,Suri,Female,1986-11-19,1006832579,menonradhika@example.com,"H.No. 32, Ghosh",Bathinda,Sikkim,040101,Business,318496,Single,2019-08-15,Verified,Inactive,Low
CUST000006,Radha,Dhar,Male,1962-10-20,0008336308,vedhikagala@example.org,"93/122, Buch Circle",Ramagundam,Haryana,929877,Accountant,997165,Single,2023-10-18,Verified,Active,Medium
CUST000007,Jack,Balasubramanian,Female,1950-05-23,2205883568,yahvikrishnamurthy@example.com,"503
Kalita Ganj",Hazaribagh,Andhra Pradesh,477810,Teacher,1660772,Divorced,2023-05-18,Verified,Inactive,Medium
CUST000008,Ethan,Bajaj,Male,1965-10-16,1898158486,prabhuhritik@example.org,"15/047, Acharya Chowk",Firozabad,Rajasthan,391034,Lawyer,676650,Single,2025-09-18,Pending,Active,Low
CUST000009,Lopa,Natt,Male,1949-12-10,2635353180,gmohan@example.com,"72/535, Khurana Street",Pudukkottai,Maharashtra,192231,Farmer,1847383,Married,2018-05-05,Pending,Inactive,High
CUST000010,Vanya,Raju,Male,1991-12-02,9438109347,gcheema@example.com,"67, Nadkarni Road",Mysore,Chhattisgarh,317619,Student,1407910,Single,2020-12-31,Pending,Active,Low
CUST000011,Christopher,Kar,Female,1946-12-24,9405410503,amaira83@example.org,"13, Hans Zila",Rourkela,Mizoram,616995,Teacher,1754333,Married,2022-12-29,Verified,Active,High
CUST000012,Vanya,Kar,Female,1992-10-15,2604017949,finnkala@example.com,"858, Sarma",Satna,Manipur,967579,Teacher,282811,Single,2025-03-20,Pending,Inactive,Low
CUST000013,Vincent,Lall,Male,1996-07-13,3675431973,lipika31@example.net,"81/078, Rajagopal Marg",Warangal,Meghalaya,710058,Farmer,596108,Married,2024-02-10,Pending,Active,High
CUST000014,Tejas,Naidu,Male,1968-07-29,8112316962,arjunnarang@example.org,"83/331, Talwar Circle",Varanasi,Nagaland,521773,Student,991700,Married,2025-11-27,Verified,Active,High
CUST000015,Dhruv,Rao,Male,1961-10-28,0514552136,aishanipradhan@example.com,"H.No. 028, Randhawa Street",Tirupati,Uttar Pradesh,441650,Government Employee,613296,Single,2019-08-07,Verified,Inactive,High
CUST000016,Yashvi,Chaudhari,Male,1966-01-07,3763105193,lopamalhotra@example.org,"849, Rattan Street",Bijapur,Uttarakhand,867424,Government Employee,434157,Single,2021-08-10,Pending,Active,High
CUST000017,Eshana,Char,Female,1994-08-25,1582268316,anya05@example.org,"708
Bhattacharyya Marg",Guntur,Maharashtra,828348,Doctor,1272846,Married,2022-07-12,Pending,Inactive,High
CUST000018,Waida,Randhawa,Female,2005-03-09,8579823085,yatandivan@example.net,"47/487
Chaudhry Chowk",Guna,Karnataka,748651,Student,1651837,Married,2024-12-20,Pending,Inactive,Low
CUST000019,Vedhika,Srivastava,Female,1952-02-05,6738648765,anthony64@example.org,"28/79, Morar Ganj",Eluru,Telangana,281019,Accountant,1442159,Divorced,2025-08-31,Pending,Inactive,Medium
CUST000020,Qasim,Patla,Male,1948-10-17,3664543641,keya89@example.org,"612
Oza Chowk",Nagpur,West Bengal,986345,Farmer,1283646,Divorced,2024-04-15,Pending,Active,Medium
CUST000021,Jyoti,Sidhu,Female,1961-08-07,6556540424,vermaaashi@example.com,"H.No. 448, Dhawan Circle",Amritsar,Madhya Pradesh,721740,Business,1270648,Married,2020-09-06,Pending,Active,Low
CUST000022,Kamala,Anand,Male,1947-10-29,7960034586,virajmemon@example.org,"H.No. 014
Sangha Marg",Dhule,Punjab,217518,Accountant,596116,Single,2024-06-21,Pending,Active,High
CUST000023,Upma,Pant,Female,1990-08-05,0924848270,chaudharitejas@example.net,"H.No. 50
Lal Ganj",Thoothukudi,Uttarakhand,086457,Government Employee,1930054,Divorced,2020-07-17,Verified,Inactive,Medium
CUST000024,Amrita,Mohan,Female,1983-03-19,3789802438,jkhalsa@example.com,"94/34, Mitra Street",Bikaner,Jharkhand,179286,Lawyer,1928960,Single,2024-10-06,Pending,Inactive,Medium
CUST000025,Nathan,Andra,Female,1999-08-24,4430579702,jdugar@example.com,"H.No. 43, Sarin Marg",Nellore,Himachal Pradesh,320910,Government Employee,2269312,Divorced,2018-08-20,Verified,Inactive,High
CUST000026,Lohit,Shukla,Female,1981-04-03,3204259649,alall@example.net,"44/38, Bhatti Marg",Sagar,Uttar Pradesh,092247,Teacher,2378424,Single,2023-12-19,Verified,Active,High
CUST000027,Faras,Sem,Male,1994-11-15,7323085405,riabatta@example.net,"38/835, Ramakrishnan",Ichalkaranji,Uttar Pradesh,605389,Software Engineer,1658996,Single,2026-06-03,Verified,Inactive,Medium
CUST000028,Anusha,Baria,Male,1972-11-30,9860366402,tbehl@example.net,"05/28
Sastry Circle",Indore,Himachal Pradesh,652971,Sales Executive,2020226,Divorced,2022-11-27,Pending,Inactive,Medium
CUST000029,Janani,Nanda,Male,1990-07-30,4530752256,epatel@example.net,"13/28
Konda Marg",Bally,Arunachal Pradesh,834171,Teacher,798690,Married,2025-10-31,Pending,Inactive,High
